VideoName,ValueExtraversion,ValueAgreeableness,ValueConscientiousness,ValueNeurotisicm,ValueOpenness
0a5FOYBAIcc.001.mp4,0.429906542,0.43956044,0.330097087,0.34375,0.488888889
0mym1CooiTE.002.mp4,0.663551402,0.692307692,0.718446602,0.760416667,0.777777778
1dOaM7zWPo8.002.mp4,0.439252336,0.483516484,0.495145631,0.479166667,0.555555556
1m67onLoRwY.001.mp4,0.327102804,0.406593407,0.475728155,0.458333333,0.611111111
1mdMhaq5p4w.000.mp4,0.420560748,0.736263736,0.475728155,0.510416667,0.577777778
1pMNczHCXPc.000.mp4,0.411214953,0.461538462,0.310679612,0.375,0.688888889
2HE6cw3HFPk.004.mp4,0.635514019,0.736263736,0.660194175,0.677083333,0.677777778
2KSBoJZMcMU.000.mp4,0.448598131,0.615384615,0.45631068,0.510416667,0.522222222
04oq2yrBwMg.000.mp4,0.317757009,0.274725275,0.203883495,0.1875,0.366666667
LDYe7OXZU.004.mp4,0.560747664,0.637362637,0.640776699,0.625,0.666666667
R2SZu3SYgM.004.mp4,0.336448598,0.373626374,0.291262136,0.427083333,0.588888889
05l5bteT_qA.000.mp4,0.61682243,0.571428571,0.621359223,0.635416667,0.666666667
0VnZngec8sc.003.mp4,0.61682243,0.692307692,0.611650485,0.6875,0.7
0gv5Z0qt2jc.000.mp4,0.14953271,0.252747253,0.291262136,0.260416667,0.311111111
0hWbtuRVUgM.001.mp4,0.224299065,0.164835165,0.310679612,0.28125,0.366666667
3J7Cl3FXs1o.003.mp4,0.700934579,0.769230769,0.86407767,0.802083333,0.8
3JzvXA-Zfbs.004.mp4,0.504672897,0.582417582,0.417475728,0.364583333,0.533333333
4bDOetaLvZs.000.mp4,0.411214953,0.428571429,0.485436893,0.427083333,0.377777778
4b-LkHBGWp4.005.mp4,0.700934579,0.593406593,0.718446602,0.65625,0.788888889
4fN-DKUzgWQ.000.mp4,0.738317757,0.758241758,0.834951456,0.78125,0.844444444
4lH5nLSwmoM.002.mp4,0.355140187,0.538461538,0.54368932,0.34375,0.377777778
4lH5nLSwmoM.004.mp4,0.495327103,0.571428571,0.650485437,0.489583333,0.5
4lIbWq27O84.004.mp4,0.485981308,0.648351648,0.533980583,0.604166667,0.566666667
4lIbWq27O84.005.mp4,0.364485981,0.483516484,0.388349515,0.40625,0.477777778
4lj66h4CXI8.001.mp4,0.635514019,0.604395604,0.669902913,0.666666667,0.755555556
4lj66h4CXI8.004.mp4,0.53271028,0.494505495,0.660194175,0.614583333,0.622222222
4nir0YtjHVs.003.mp4,0.700934579,0.582417582,0.650485437,0.697916667,0.8
4nir0YtjHVs.004.mp4,0.794392523,0.769230769,0.747572816,0.8125,0.977777778
4nMstrTuXXw.000.mp4,0.439252336,0.538461538,0.310679612,0.427083333,0.444444444
4NzqG0XwOWg.003.mp4,0.607476636,0.582417582,0.708737864,0.625,0.666666667
4OKYywIqnqg.004.mp4,0.495327103,0.340659341,0.514563107,0.510416667,0.644444444
4Qr1BjZhnpg.005.mp4,0.570093458,0.450549451,0.601941748,0.625,0.666666667
4sCa35TOxgs.003.mp4,0.345794393,0.406593407,0.233009709,0.322916667,0.422222222
4T9UUWWRE94.001.mp4,0.504672897,0.725274725,0.495145631,0.541666667,0.555555556
4vJ69g7gAH4.000.mp4,0.448598131,0.538461538,0.689320388,0.552083333,0.544444444
4vJ69g7gAH4.003.mp4,0.46728972,0.516483516,0.601941748,0.583333333,0.611111111
4vJ69g7gAH4.005.mp4,0.514018692,0.648351648,0.572815534,0.572916667,0.722222222
4VwcU0ROy5k.000.mp4,0.560747664,0.736263736,0.650485437,0.59375,0.533333333
4VwcU0ROy5k.005.mp4,0.495327103,0.494505495,0.514563107,0.375,0.655555556
4yogPbHFQ9o.000.mp4,0.317757009,0.472527473,0.572815534,0.395833333,0.4
4ZlcaXadwlo.002.mp4,0.411214953,0.494505495,0.398058252,0.46875,0.555555556
4ZlcaXadwlo.004.mp4,0.514018692,0.43956044,0.446601942,0.479166667,0.511111111
5KHOpRCxnwQ.001.mp4,0.598130841,0.593406593,0.563106796,0.604166667,0.644444444
5Ku4_r_Yxsk.004.mp4,0.598130841,0.615384615,0.708737864,0.739583333,0.766666667
5kwoq4EZixQ.002.mp4,0.373831776,0.582417582,0.466019417,0.5,0.555555556
5lqg3tAI9H0.002.mp4,0.439252336,0.384615385,0.475728155,0.458333333,0.544444444
5lqg3tAI9H0.004.mp4,0.308411215,0.285714286,0.349514563,0.302083333,0.355555556
5LT-hTT4J7s.005.mp4,0.570093458,0.549450549,0.514563107,0.5625,0.588888889
5-mwIFjOWZ4.002.mp4,0.495327103,0.571428571,0.368932039,0.541666667,0.655555556
5PsD_NFMWpQ.001.mp4,0.420560748,0.582417582,0.427184466,0.4375,0.5
5TYuLy7JLj4.003.mp4,0.308411215,0.373626374,0.533980583,0.46875,0.433333333
5VG1EgzvprE.002.mp4,0.691588785,0.593406593,0.757281553,0.729166667,0.744444444
5wpoKhbt28c.002.mp4,0.644859813,0.604395604,0.533980583,0.645833333,0.677777778
6CRet5sD6xI.000.mp4,0.579439252,0.582417582,0.485436893,0.5625,0.633333333
6inqwyJPQ6k.002.mp4,0.598130841,0.703296703,0.533980583,0.666666667,0.655555556
50gokPvvMs8.003.mp4,0.317757009,0.395604396,0.699029126,0.270833333,0.455555556
54JawR1x0II.003.mp4,0.495327103,0.549450549,0.786407767,0.5625,0.666666667
54K75EhiTEk.001.mp4,0.214953271,0.516483516,0.388349515,0.447916667,0.444444444
59Smv7wl--w.004.mp4,0.476635514,0.637362637,0.825242718,0.666666667,0.577777778
